PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
failure mode,140,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Pelvic-control / anti-submarining pan load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,140,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Pelvic-control / anti-submarining pan load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,140,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Pelvic-control / anti-submarining pan load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,140,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Pelvic-control / anti-submarining pan load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,150L,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Left seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,150R,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Right seatback rotation-control link load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,160,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Seatback frame load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,170,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Multi-state lock load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,180,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Rebound-control module load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
fastener,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
weld,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
bearing surface,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
failure mode,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
allowable,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
safety factor,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
evidence,190,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Occupant restraint interface load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
expected load,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
reaction path,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load direction,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
load magnitude,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
structural section,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
joint,200,,N / geometry / definition,V7_GAP_REGISTER + V7_R5_DEFINITIONS,V7-GAP/V7-RC-005,MISSING,LOAD_PATH_NOT_QUANTIFIED,None,Torso/head guidance load path,No capacity-bearing value may be inferred from visual geometry.,Materials + joints + load cases + test/FE,Critical,Controlled load path calculation/test evidence
