RECORD_ID,RECORD_TYPE,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE_ID,REPOSITORY_PATH,COMMIT_SHA,SOURCE_SHA256,SOURCE_REVISION,ORIGINAL_AUDIT_STATUS,CANONICAL_CLASSIFICATION,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE,CONFLICT_ID,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME,NORMALIZATION_NOTE
K-0216,PARAMETER,B-Rep volume,170,256571.68026350642,mm3,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MODEL_DERIVED,MODEL_ONLY,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0217,PARAMETER,component mass,170,,kg,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0218,PARAMETER,component CG X,170,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0219,PARAMETER,component CG Y,170,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0220,PARAMETER,component CG Z,170,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0221,PARAMETER,Ixx,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0222,PARAMETER,Iyy,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0223,PARAMETER,Izz,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0224,PARAMETER,Ixy,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0225,PARAMETER,Ixz,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0226,PARAMETER,Iyz,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0227,PARAMETER,principal moments,170,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0228,PARAMETER,principal axes,170,,dimensionless/frame,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Multi-state lock mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0229,PARAMETER,B-Rep volume,180,485625.6606917095,mm3,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MODEL_DERIVED,MODEL_ONLY,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0230,PARAMETER,component mass,180,,kg,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0231,PARAMETER,component CG X,180,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0232,PARAMETER,component CG Y,180,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0233,PARAMETER,component CG Z,180,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0234,PARAMETER,Ixx,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0235,PARAMETER,Iyy,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0236,PARAMETER,Izz,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0237,PARAMETER,Ixy,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0238,PARAMETER,Ixz,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0239,PARAMETER,Iyz,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0240,PARAMETER,principal moments,180,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0241,PARAMETER,principal axes,180,,dimensionless/frame,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Rebound-control module mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0242,PARAMETER,B-Rep volume,190,216000.00000000006,mm3,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MODEL_DERIVED,MODEL_ONLY,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0243,PARAMETER,component mass,190,,kg,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0244,PARAMETER,component CG X,190,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0245,PARAMETER,component CG Y,190,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0246,PARAMETER,component CG Z,190,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0247,PARAMETER,Ixx,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0248,PARAMETER,Iyy,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0249,PARAMETER,Izz,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0250,PARAMETER,Ixy,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0251,PARAMETER,Ixz,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0252,PARAMETER,Iyz,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0253,PARAMETER,principal moments,190,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0254,PARAMETER,principal axes,190,,dimensionless/frame,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Occupant restraint interface mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0255,PARAMETER,B-Rep volume,200,1670400.0000000931,mm3,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MODEL_DERIVED,MODEL_ONLY,GEOMETRY_VOLUME,High,Mass-properties precursor,Density/material identity is not authoritative; volume is not mass.,Material identity + density,High,Controlled material and independent mass measurement,,NO,NO,YES,Model/reconstruction datum; not a physical or manufacturing fact.
K-0256,PARAMETER,component mass,200,,kg,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0257,PARAMETER,component CG X,200,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0258,PARAMETER,component CG Y,200,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0259,PARAMETER,component CG Z,200,,mm,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0260,PARAMETER,Ixx,200,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0261,PARAMETER,Iyy,200,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0262,PARAMETER,Izz,200,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
K-0263,PARAMETER,Ixy,200,,kg·mm²,V7_R5_MASS,V7_ENGINEERING_R5/V7_MASS_CG_INERTIA_R5.json,f562a8cfe00835f1919ab3683bf17b3ae407100b,7a7247d25c7c48743bf962f83a8a754f05a0b1f8b993e487433451657bd90228,V7-RC-005,MISSING,MISSING,ABSENT_VALUE,None,Torso/head guidance mass property,No authoritative controlled value. Mass blocked by material/density; CG/inertia depend on mass distribution and frame.,Material specification + controlled geometry + metrology,Critical,"Material identity, density, weighed mass, CG/inertia measurement or controlled derivation",,NO,NO,YES,
