DIMENSION_ID,CATEGORY,PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,STATUS,SOURCE_ID,CONFLICT_ID,ENGINEERING_USE,MISSING_INFORMATION,NEXT_REQUIRED_EVIDENCE,RADE_MAY_USE,RADE_MAY_MODIFY,RADE_MUST_NOT_ASSUME
D-145,Structural member explicit completeness,reference datums,130R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-146,Structural member explicit completeness,length,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-147,Structural member explicit completeness,width,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-148,Structural member explicit completeness,height,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-149,Structural member explicit completeness,section geometry,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-150,Structural member explicit completeness,wall thickness,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-151,Structural member explicit completeness,plate thickness,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-152,Structural member explicit completeness,hole sizes,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-153,Structural member explicit completeness,edge distances,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-154,Structural member explicit completeness,radii,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-155,Structural member explicit completeness,offsets,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-156,Structural member explicit completeness,interface locations,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-157,Structural member explicit completeness,reference datums,140,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-158,Structural member explicit completeness,length,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-159,Structural member explicit completeness,width,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-160,Structural member explicit completeness,height,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-161,Structural member explicit completeness,section geometry,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-162,Structural member explicit completeness,wall thickness,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-163,Structural member explicit completeness,plate thickness,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-164,Structural member explicit completeness,hole sizes,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-165,Structural member explicit completeness,edge distances,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-166,Structural member explicit completeness,radii,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-167,Structural member explicit completeness,offsets,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-168,Structural member explicit completeness,interface locations,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-169,Structural member explicit completeness,reference datums,150L,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-170,Structural member explicit completeness,length,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-171,Structural member explicit completeness,width,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-172,Structural member explicit completeness,height,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-173,Structural member explicit completeness,section geometry,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-174,Structural member explicit completeness,wall thickness,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-175,Structural member explicit completeness,plate thickness,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-176,Structural member explicit completeness,hole sizes,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-177,Structural member explicit completeness,edge distances,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-178,Structural member explicit completeness,radii,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-179,Structural member explicit completeness,offsets,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-180,Structural member explicit completeness,interface locations,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-181,Structural member explicit completeness,reference datums,150R,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-182,Structural member explicit completeness,length,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-183,Structural member explicit completeness,width,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-184,Structural member explicit completeness,height,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-185,Structural member explicit completeness,section geometry,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-186,Structural member explicit completeness,wall thickness,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-187,Structural member explicit completeness,plate thickness,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-188,Structural member explicit completeness,hole sizes,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-189,Structural member explicit completeness,edge distances,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-190,Structural member explicit completeness,radii,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-191,Structural member explicit completeness,offsets,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-192,Structural member explicit completeness,interface locations,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-193,Structural member explicit completeness,reference datums,160,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-194,Structural member explicit completeness,length,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-195,Structural member explicit completeness,width,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-196,Structural member explicit completeness,height,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-197,Structural member explicit completeness,section geometry,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-198,Structural member explicit completeness,wall thickness,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-199,Structural member explicit completeness,plate thickness,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-200,Structural member explicit completeness,hole sizes,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-201,Structural member explicit completeness,edge distances,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-202,Structural member explicit completeness,radii,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-203,Structural member explicit completeness,offsets,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-204,Structural member explicit completeness,interface locations,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-205,Structural member explicit completeness,reference datums,170,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-206,Structural member explicit completeness,length,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-207,Structural member explicit completeness,width,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-208,Structural member explicit completeness,height,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-209,Structural member explicit completeness,section geometry,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-210,Structural member explicit completeness,wall thickness,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-211,Structural member explicit completeness,plate thickness,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-212,Structural member explicit completeness,hole sizes,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-213,Structural member explicit completeness,edge distances,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-214,Structural member explicit completeness,radii,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-215,Structural member explicit completeness,offsets,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-216,Structural member explicit completeness,interface locations,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-217,Structural member explicit completeness,reference datums,180,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-218,Structural member explicit completeness,length,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-219,Structural member explicit completeness,width,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-220,Structural member explicit completeness,height,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-221,Structural member explicit completeness,section geometry,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-222,Structural member explicit completeness,wall thickness,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-223,Structural member explicit completeness,plate thickness,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-224,Structural member explicit completeness,hole sizes,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-225,Structural member explicit completeness,edge distances,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-226,Structural member explicit completeness,radii,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-227,Structural member explicit completeness,offsets,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-228,Structural member explicit completeness,interface locations,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-229,Structural member explicit completeness,reference datums,190,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-230,Structural member explicit completeness,length,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-231,Structural member explicit completeness,width,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-232,Structural member explicit completeness,height,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-233,Structural member explicit completeness,section geometry,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-234,Structural member explicit completeness,wall thickness,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-235,Structural member explicit completeness,plate thickness,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-236,Structural member explicit completeness,hole sizes,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-237,Structural member explicit completeness,edge distances,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-238,Structural member explicit completeness,radii,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-239,Structural member explicit completeness,offsets,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-240,Structural member explicit completeness,interface locations,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-241,Structural member explicit completeness,reference datums,200,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-242,Structural member explicit completeness,length,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-243,Structural member explicit completeness,width,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-244,Structural member explicit completeness,height,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-245,Structural member explicit completeness,section geometry,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-246,Structural member explicit completeness,wall thickness,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-247,Structural member explicit completeness,plate thickness,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-248,Structural member explicit completeness,hole sizes,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-249,Structural member explicit completeness,edge distances,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-250,Structural member explicit completeness,radii,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-251,Structural member explicit completeness,offsets,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-252,Structural member explicit completeness,interface locations,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-253,Structural member explicit completeness,reference datums,210,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-254,Structural member explicit completeness,length,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-255,Structural member explicit completeness,width,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-256,Structural member explicit completeness,height,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-257,Structural member explicit completeness,section geometry,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-258,Structural member explicit completeness,wall thickness,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-259,Structural member explicit completeness,plate thickness,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-260,Structural member explicit completeness,hole sizes,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-261,Structural member explicit completeness,edge distances,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-262,Structural member explicit completeness,radii,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-263,Structural member explicit completeness,offsets,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-264,Structural member explicit completeness,interface locations,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
D-265,Structural member explicit completeness,reference datums,J,,,MISSING,AUDIT-002,,Buildable component definition,No explicit controlled part-level value in Master Audit; applicability/release not established.,No value inferred from geometry.,YES,NO,YES
